Majority Protein ID,Sample 01_WT,Sample 02_T1,Sample 03_T2,Sample 04_WT,Sample 05_T1,Sample 06_T2,Sample 07_WT,Sample 08_T1,Sample 09_T2,Sample 10_WT,Sample 11_T1,Sample 12_T2,Sample 13_WT,Sample 14_T1,Sample 15_T2
A2AB59,26.283891256798626,26.725047318829347,26.170826452952184,26.626333572513207,24.71575235348053,25.741488676236237,26.131211672558695,26.553949465229746,26.219765038775936,26.24941805050631,26.815974544715704,26.213336412516455,24.307706186176027,26.739995395149787,26.36183807164175
A2ADY9,28.17362945678844,28.521501382789133,28.176025935024956,28.526933213048604,27.46266835612784,28.55501722031347,28.435610537442265,28.444437280165012,27.84602078984221,28.238442101340407,28.694971114523266,28.03128326961128,27.382266823216966,28.23371049661877,28.17611344849198
A2AF47,26.527241005823875,26.979392902240377,26.533705617986254,26.837000446831333,25.210924113315862,25.960726777081415,26.594705512526126,26.650854296439018,26.55920778156907,26.370046953444394,27.037846530867686,26.42043304352597,25.042508082311024,26.87199664332508,26.4728674542657
A2AG50,30.145433817962186,29.834253026966334,30.366373641847122,29.95414268486516,29.765271268718063,30.464822036739154,29.731941773675803,29.63338178358035,29.771545817149704,30.822940782316845,29.752636622186674,30.266076235011962,30.394426411692308,29.887554406216644,30.041226948064384
A2AGT5,30.033053606061543,30.06732302359651,30.383160564682576,30.2901084911304,30.117761918245225,30.169043449359506,30.1670137178749,30.33252533524936,30.137778587312404,29.687955015809063,30.151677536873944,30.115588146545903,30.052645896278353,30.02063663654613,30.275274024797557
A2AHC3,26.427588457414032,26.865781005080386,26.378646181391876,26.722753974933223,24.93503066160909,25.666594041785103,26.40766522619731,26.566981546066373,26.30704628558824,26.272525158371838,26.956500770303137,26.418037641255214,24.48608381098123,26.845478152372028,26.419666694393268
A2AI08,25.884894666026987,26.672281952075746,25.865756215815136,26.48238658066985,24.078792536936835,24.996117750902226,25.99141939106915,27.469321544582332,26.063355968130548,27.41195917639554,26.70884466924145,25.78404322317419,23.101461670823465,26.60075334032816,26.124568644567777
A2AIG8,27.039542122281052,27.349886908911532,26.954298791471384,27.30296824369973,25.94332994527796,26.516345602830572,27.063440036666908,27.02839407858251,27.055340478035877,27.169793228306986,27.364380028196752,26.43985067923939,26.393552171914305,27.266433968684154,27.16663555702581
A2AIL4,26.351635123320605,26.87060965221801,26.237387017161705,26.66952200674083,25.172946737342354,25.21998838974562,26.293501998822727,26.569026236283506,26.33951980758113,26.202268551131496,26.94180327005091,26.17994691197933,24.389871887229877,26.830819686384693,26.42425589977581
A2AJA9,26.67140740859784,26.80239219347329,26.81365718072369,26.803224090536542,24.935255524880983,26.665853573886533,26.36518589358943,27.147843670920814,26.71391447230886,26.269514259175672,26.86282944236892,26.451641150230998,25.302004934070933,27.107285225625642,26.6193439494752
A2AJB2,25.890332699851108,27.561144173660427,27.388921418991096,26.431080103917928,27.198088535078313,27.270246885912897,27.42500551922939,26.20683399438269,25.998121046621925,25.923021323717713,26.666857593155452,27.372219607791955,15.0405037802633,26.542126100912096,26.022308909772494
A2AJI0,28.827041802934367,28.64531669144043,28.69885808112373,28.59622465552184,28.168031931112523,28.8953075659701,28.17542997965754,28.772574506479714,28.23457854308536,28.604234881449347,28.416219418298773,28.723544586371762,28.12143167037433,28.758343438613842,28.61339749460002
A2AJL3,26.178628567407884,26.783145504608136,25.979317651420306,26.72868181304152,24.451417641517963,25.54184516766565,26.49570906789042,26.43973525410044,26.379762844578405,26.195657429475805,27.017081184560126,25.911611080932662,23.192618054915297,26.70934655311146,26.448577390963983
A2AKG8,26.896686910798643,27.23519611216595,27.010249491819554,27.109792488841297,26.216931647670837,26.47584775292581,27.009915925337438,27.159564402954665,27.024127195433536,26.673482493100863,27.432763106502428,26.890756255917605,26.173633698936914,27.157048325459257,27.135181419285665
A2ALS5,30.067183357391787,29.955718150657468,30.145122009106807,30.09659956314077,29.983000334178456,30.066792591521168,29.851853546891437,29.832016497688254,30.055096675678026,30.17647721096185,30.040403068022655,30.18578200228981,30.096032818552153,30.13201510666357,30.421484807635608
A2ALU4,29.806897587225905,29.488774194525767,29.54912724105307,29.31596106306346,29.38725309781194,30.048460467881814,29.522369687817374,29.413998351777916,29.548836227070314,29.89577679120638,29.610128710738607,29.702529316415124,29.573020310426752,29.67640450103981,29.569856146513793
A2AMZ4,27.406053383866304,26.63425827746349,27.388921418991096,27.518366104022252,27.198088535078313,24.862441154856082,26.025973779824458,26.224607372429222,26.052675563894073,26.050494136145332,26.68331185071325,25.722344595098196,20.909911390331075,27.543896354293295,27.433521832802768
A2AN08,29.372596141830396,29.236593384522582,29.503889193884465,29.10186603996266,29.229937940966046,29.62354174902701,29.50974198755149,29.388708233953274,29.601199908915525,28.78153078867935,29.03558352330105,29.28062804739238,29.050348240593642,28.948742345834393,29.22001493759108
A2AP18,25.97833274429058,26.673817665477472,25.89044975783389,26.48771635521381,24.06376567807786,25.12837070592122,26.09047328464718,26.249910183152718,26.057215929005803,25.971995358267478,27.57682778552633,25.86172050394659,22.624821554290968,26.562533778524863,26.102245926013577
A2APT9,25.877663402606956,26.70714490660937,25.962896721638202,26.528068878692398,24.409063533239763,24.81202682086684,26.0820167548783,26.204929108367484,27.426930075609512,26.080601337864042,26.666563723679722,25.805461798303515,21.44707969390836,26.634977258111817,26.05500006216033
