Majority Protein ID,Sample 01_WT,Sample 02_T1,Sample 03_T2,Sample 04_WT,Sample 05_T1,Sample 06_T2,Sample 07_WT,Sample 08_T1,Sample 09_T2,Sample 10_WT,Sample 11_T1,Sample 12_T2,Sample 13_WT,Sample 14_T1,Sample 15_T2
B1AVZ0,124430000,80896000,107650000,112110000,100410000,141260000,108820000,98613000,98166000,136860000,102390000,138140000,102630000,147170000,147340000
B1AXP6,206950000,181010000,205950000,205240000,179210000,231550000,195350000,91459000,80193000,191350000,84390000,218620000,194890000,244280000,90872000
B1AXV0,69523000,71097000,74468000,75768000,70547000,67418000,66208000,73723000,69658000,71052000,65537000,70249000,88848000,66937000,76518000
B1AY13,86521000,88349000,112260000,92735000,104200000,122610000,121510000,107420000,101990000,82862000,84322000,100770000,108670000,78982000,130620000
B1AZI6,13084000,16285000,15698000,19048000,14249000,14628000,13482000,15445000,6417500,13077000,15733000,17760000,14695000,11510000,9650000
B2RPU2,39683000,30901000,20891000,9458400,68164000,33370000,37215000,33380000,36088000,31086000,20009000,30508000,43808000,33890000,23538000
B2RQC6,556480000,573230000,707320000,603670000,633680000,609630000,583390000,614170000,627500000,429820000,582710000,605560000,666250000,505820000,662200000
B2RQR8;P0DPD9,0,0,4707600,2626300,3616100,0,5105700,4983200,2664600,6338700,3892500,4838400,12251000,3537200,2704500
B2RR83,12516000,14531000,28076000,21786000,16379000,17098000,20705000,14626000,13603000,7238500,16167000,21548000,20793000,12404000,18856000
B2RSH2,2007200000,1401000000,1606600000,1700900000,1423600000,2117300000,1666300000,1516600000,1569400000,1740500000,1397100000,1566300000,1462500000,1824400000,1642000000
B2RUJ5,337090000,374120000,358730000,258710000,328510000,430140000,282630000,375100000,252250000,376680000,261700000,415470000,339900000,338760000,368060000
B2RUR8,157320000,127930000,133840000,131940000,140080000,174080000,121240000,124430000,116060000,85492000,119320000,119720000,156810000,114550000,165550000
B2RXA1,3404300,3483300,4024200,4022800,3408600,3899100,3767500,3588800,2633300,3159900,4146600,5426000,3637900,5015600,3989600
B2RXC1,256880000,278000000,243990000,211610000,213860000,257310000,185230000,270770000,210020000,237830000,194270000,325620000,317120000,242150000,281980000
B2RXR6,29092000,45178000,26660000,30542000,38945000,48508000,36983000,51758000,20792000,38185000,25068000,53873000,38820000,33804000,33940000
B2RXS4,340670000,391420000,338730000,314350000,330970000,379020000,296080000,367470000,271090000,384620000,292380000,418290000,439590000,321520000,425280000
B2RY04,131310000,123630000,159780000,152870000,106380000,137410000,120330000,136530000,110770000,98688000,113340000,124540000,125230000,113510000,147760000
B2RY56,92841000,95233000,103040000,91575000,94026000,121730000,82443000,107550000,85354000,129230000,94086000,135630000,101710000,89515000,109350000
B7ZMP1,19538000,7925900,19125000,15591000,12033000,14677000,10965000,12854000,9263600,29036000,10171000,11517000,7308800,10323000,20648000
B8ZXI1,11641000,6194400,5058900,5952600,7598500,15453000,7421000,0,9562000,11174000,6377700,3741500,8727700,10189000,8458600
B9EHT4,19660000,13436000,22186000,16752000,13914000,21266000,18713000,9669700,10943000,8992300,16685000,17148000,14186000,16327000,22919000
B9EJ80,139750000,120550000,180910000,129800000,147510000,169030000,141560000,146170000,144980000,114480000,121930000,129300000,142610000,133070000,143310000
B9EJ86,93895000,80193000,96308000,104550000,93723000,110830000,98613000,84754000,58576000,75433000,84847000,104910000,92477000,83890000,100730000
B9EJA2,14033000,13285000,13148000,6955600,14516000,16701000,17196000,11328000,18704000,4078700,11030000,14177000,11263000,8805700,21395000
B9EJI9,0,550380,3593100,7026000,5844300,17154000,3056400,0,0,6744300,1307600,0,1452200,2051600,4928000
B9EKI3,36720000,32648000,41017000,31668000,35336000,37865000,38009000,23718000,38107000,37799000,31269000,33333000,44451000,24339000,33774000
B9EKR1,4545000000,3433400000,4430800000,3611300000,4664300000,5482400000,4787300000,4011100000,4477700000,5346300000,3266000000,4210900000,5141000000,3189000000,4505600000
C0HK80;C0HK79,49356000,51884000,54764000,60869000,52937000,50124000,48718000,62511000,59553000,43474000,56376000,56927000,64508000,48283000,44169000
C0HKD9;C0HKD8,13651000,13369000,14776000,15958000,24167000,18623000,27262000,11404000,15278000,22912000,12162000,16039000,25341000,11307000,19837000
C0HKE9;C0HKE8;C0HKE7;C0HKE6;C0HKE5;C0HKE4;C0HKE3;C0HKE2;C0HKE1;Q8CGP6;Q8R1M2;Q8CGP7;Q8CGP5;Q8BFU2,7162100,20153000,7760900,8118700,53379000,23522000,22016000,7533000,9167800,411780000,235880000,9549200,8757700,8618500,10623000
C0HKG6;C0HKG5,12389000,12600000,10761000,15692000,8280100,9943200,11136000,9967000,10927000,6411400,3824600,8620900,18296000,4950400,10637000
CON__ENSEMBL:ENSBTAP00000025008,58599000,87647000,72598000,84785000,88742000,74396000,62043000,66684000,52569000,54670000,70566000,49063000,76731000,38401000,45927000
CON__ENSEMBL:ENSP00000377550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON__O43790;CON__Q14533;CON__P78385,2116800,8139800,0,0,1104700,0,796520,0,22692000,0,7607400,33835000,0,847540,0
