Assay,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7
ANKRD45,-0.05052447250000025,0.7816994194999998,0.9735572345000003,1.2570526605,-2.170313119499999,-0.03474593149999983,0.9735572345000003
ANLN,-3.805101875000002,-3.805583475000001,1.014025211,0.8396944999999985,0.6523089409999994,0.5912957189999997,1.014025211
APBB1,-0.3920958040000002,0.3693418500000001,0.4041633609999997,0.006080389000000075,0.1081800459999998,0.1050651069999997,0.4041633609999997
APEX2,-0.5286445650000005,-0.5291261649999992,4.410776139000001,-0.6387357749999989,-0.5947961849999999,-0.832687374999999,4.410776139000001
APLF,1.05069256,-3.271717069999999,-2.97567081,1.476654052000001,-3.33738709,-1.99031544,-2.97567081
APOBEC2,0.2487187390000001,0.06872654000000011,-0.1810507770000003,0.2266526219999996,-0.3324599270000004,-0.225845337,-0.1810507770000003
APTX,-1.0121917725,-0.4651851654999994,1.346699714500001,-0.1039037704999988,0.1440501215000003,0.5379157065000006,1.346699714500001
AQP1,-0.1931891439999998,1.949287415,-0.0231547360000004,-0.640314579,-4.844302659,0.5325160029999996,-0.0231547360000004
AREL1,0.4367318154999982,-4.608143327500001,0.08022069949999988,-4.7177529375,0.6115889554999985,0.3362231254999983,0.08022069949999988
ARFGEF2,-0.4614017009999998,0.02119994200000086,-1.133414506999999,-0.3727128509999993,-0.02119994199999997,0.4616253380000002,-1.133414506999999
AAAS,-1.112022638,0.107996226,-0.3085172170000003,-0.6683695309999997,-0.5369665619999999,-0.06530785500000036,-0.3085172170000003
AAGAB,0.9446644785000018,-0.640779972499999,-0.6926560404999993,0.4271492955000014,0.5736589435000017,-1.051255703499999,-0.6926560404999993
AASDH,0.2781434054999998,0.1358089444999999,0.2565975185000005,0.4278664585000005,-0.3046503065000001,-1.8069572455,0.2565975185000005
ABCB5,-0.1919274329999991,0.3978285790000005,-0.2748737339999998,1.060551643,-1.242311000999999,-1.83383894,-0.2748737339999998
ABCC6,-0.6887531280000001,-5.643430708,1.281972408,0.5323619839999996,-1.008660317,0.1190977099999984,1.281972408
ABCC8,1.632748604500001,-5.122620103499999,1.3433513645,1.1428093915,-5.1882901235,0.7832722665000009,1.3433513645
ABCF2,-0.6158680914999994,-5.0086665135,0.1942706105000003,0.6096444124999998,-0.4893736835000002,-0.6117873194999994,0.1942706105000003
ABLIM3,-0.680533886500001,-0.3855586055,-0.1439595225000012,0.01673078550000007,-0.09759092350000032,1.110581874499999,-0.1439595225000012
ABRA,0.1603006119999999,0.057013392,0.1589583160000001,0.1614328620000003,-0.5204519029999997,-0.2308806179999996,0.1589583160000001
ACBD7,0.1482596399999991,1.948008536999999,0.5858435629999992,0.572505473999998,-0.07543230100000109,1.509798526999999,0.5858435629999992
ACIN1,-0.4070367815000004,0.9004368784999999,1.0642356875,-0.003424167500000408,0.5738377574999998,-0.1553807255000006,1.0642356875
ACOT12,0.8176057335000002,0.3187229635,1.0425078865,-0.08486723949999941,0.7849948405000005,-1.4243061545,1.0425078865
